,vertical_column_troposphere,day
0,2.1317994497678154,2025-04-01
0,1.2074114557134725,2025-04-02
0,1.1362156604073803,2025-04-03
0,1.343949883262995,2025-04-04
0,0.7488778145963543,2025-04-05
0,3.6513974347420124,2025-04-06
0,2.369307824202013,2025-04-07
0,2.910685255893341,2025-04-08
0,4.103062201733718,2025-04-09
0,2.1258329645617824,2025-04-10
0,2.226848666273187,2025-04-11
0,2.3411993472399644,2025-04-12
0,2.163289285541033,2025-04-13
0,1.3932356163315687,2025-04-14
0,2.965208200793141,2025-04-15
0,3.5472098094240385,2025-04-16
0,2.668485643843443,2025-04-17
0,1.858924973698469,2025-04-18
0,2.1214662067199965,2025-04-19
0,2.200970238989154,2025-04-20
0,2.868949920685051,2025-04-21
0,2.4269421509789284,2025-04-22
0,5.269361429554878,2025-04-23
0,2.8917019436536724,2025-04-24
0,3.065995834335741,2025-04-25
0,3.5254587258196683,2025-04-26
0,3.159980772228503,2025-04-27
0,2.4850083331739397,2025-04-28
0,2.4825696206651857,2025-04-29
0,2.3370841092900885,2025-04-30
0,4.718121220457201,2025-05-01
0,2.8423106984789204,2025-05-02
0,2.0921896669546474,2025-05-03
0,2.392475623204649,2025-05-04
0,2.8174199023934317,2025-05-05
0,2.5074045225224517,2025-05-06
0,15.261723509404442,2025-05-07
0,3.5688682717966587,2025-05-08
0,3.485603947026151,2025-05-09
0,1.9747757246993018,2025-05-10
0,4.882164947861837,2025-05-11
0,4.739719828969244,2025-05-12
0,3.019248736297439,2025-05-13
0,1.861658966589372,2025-05-14
0,1.8638720533130297,2025-05-15
0,1.3889565524276983,2025-05-16
0,1.584249845848064,2025-05-17
0,1.9224844280787252,2025-05-18
0,2.020089015057922,2025-05-19
0,1.2812464846756453,2025-05-20
0,12.06702687588224,2025-05-21
0,7.025020620413914,2025-05-22
0,12.514286358637676,2025-05-23
0,1.9737530288036726,2025-05-24
0,1.0155521440312707,2025-05-25
0,1.0830067061206963,2025-05-26
0,4.281762852207139,2025-05-27
0,2.9076267352917573,2025-05-28
0,3.514075732909551,2025-05-29
0,5.492286121475009,2025-05-30
0,3.042559364878413,2025-05-31
